epoch,step,train_loss
0,49,0.5599914789199829
0,99,0.6019718050956726
0,149,0.28767409920692444
0,199,0.3109034299850464
0,249,0.22703050076961517
0,299,0.13354924321174622
0,349,0.20833422243595123
0,399,0.20158891379833221
0,449,0.12750476598739624
1,499,0.15359339118003845
1,549,0.29434722661972046
1,599,0.25015175342559814
1,649,0.15848135948181152
1,699,0.23695367574691772
1,749,0.05938853695988655
1,799,0.10287356376647949
1,849,0.22785963118076324
1,899,0.26052427291870117
2,949,0.07928595691919327
2,999,0.21886882185935974
2,1049,0.05974098667502403
2,1099,0.10164446383714676
2,1149,0.09042911231517792
2,1199,0.0821075588464737
2,1249,0.0665895864367485
2,1299,0.16868308186531067
2,1349,0.12706288695335388
2,1399,0.17653346061706543
